product_name,category,brand,unit,quantity,price,store,image_url
Mousambi (Sweet Lime),Other,Generic,1 pc,1,127,Instamart,https://via.placeholder.com/200
Banana,Other,Generic,1 pc,1,276,Blinkit,https://via.placeholder.com/200
"Sesamum (Sesame,Gingelly,Til)",Other,Generic,1 pc,1,280,Zepto,https://via.placeholder.com/200
Lemon,Other,Generic,1 pc,1,133,Blinkit,https://via.placeholder.com/200
Tomato,Other,Generic,1 pc,1,230,Instamart,https://via.placeholder.com/200
Tomato,Other,Generic,1 pc,1,158,Zepto,https://via.placeholder.com/200
Tomato,Other,Generic,1 pc,1,269,BigBasket,https://via.placeholder.com/200
Cabbage,Other,Generic,1 pc,1,125,Blinkit,https://via.placeholder.com/200
Bhindi (Ladies Finger),Other,Generic,1 pc,1,275,Instamart,https://via.placeholder.com/200
Tube Rose (Double),Other,Generic,1 pc,1,221,Instamart,https://via.placeholder.com/200
Bitter gourd,Other,Generic,1 pc,1,15,JioMart,https://via.placeholder.com/200
Tube Rose (Single),Other,Generic,1 pc,1,306,BigBasket,https://via.placeholder.com/200
Brinjal,Other,Generic,1 pc,1,213,Blinkit,https://via.placeholder.com/200
Orchid,Other,Generic,1 pc,1,491,Blinkit,https://via.placeholder.com/200
Banana - Green,Other,Generic,1 pc,1,372,Zepto,https://via.placeholder.com/200
Arecanut (Betelnut/Supari),Other,Generic,1 pc,1,305,Instamart,https://via.placeholder.com/200
Cauliflower,Other,Generic,1 pc,1,239,Zepto,https://via.placeholder.com/200
Turmeric,Other,Generic,1 pc,1,272,BigBasket,https://via.placeholder.com/200
Brinjal,Other,Generic,1 pc,1,419,BigBasket,https://via.placeholder.com/200
Cauliflower,Other,Generic,1 pc,1,294,JioMart,https://via.placeholder.com/200
Bottle gourd,Other,Generic,1 pc,1,98,Instamart,https://via.placeholder.com/200
Cabbage,Other,Generic,1 pc,1,226,Zepto,https://via.placeholder.com/200
Pumpkin,Other,Generic,1 pc,1,286,Instamart,https://via.placeholder.com/200
Tomato,Other,Generic,1 pc,1,23,Blinkit,https://via.placeholder.com/200
Beetroot,Other,Generic,1 pc,1,202,Zepto,https://via.placeholder.com/200
