date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1994-01-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.2545
1994-01-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Wheat,KG,actual,Retail,INR,5.0,0.159
1994-01-15,Delhi,Delhi,Delhi,28.666667,77.216667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4294
1994-01-15,Delhi,Delhi,Delhi,28.666667,77.216667,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.986
1994-01-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Rice,KG,actual,Retail,INR,6.8,0.2163
1994-01-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Wheat,KG,actual,Retail,INR,6.2,0.1972
1994-01-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4294
1994-01-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,oil and fats,Oil (mustard),KG,actual,Retail,INR,30.0,0.9542
1994-01-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,cereals and tubers,Rice,KG,actual,Retail,INR,9.0,0.2863
1994-01-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,miscellaneous food,Sugar,KG,actual,Retail,INR,13.75,0.4373
1994-01-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,oil and fats,Oil (mustard),KG,actual,Retail,INR,36.0,1.145
1994-01-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,cereals and tubers,Wheat,KG,actual,Retail,INR,7.0,0.2226
1994-01-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,miscellaneous food,Sugar,KG,actual,Retail,INR,13.2,0.4198
1994-01-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,oil and fats,Oil (mustard),KG,actual,Retail,INR,41.0,1.3041
1994-01-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,cereals and tubers,Wheat,KG,actual,Retail,INR,4.5,0.1431
1994-01-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,miscellaneous food,Sugar,KG,actual,Retail,INR,13.25,0.4214
1994-01-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.986
1994-01-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Rice,KG,actual,Retail,INR,7.5,0.2385
1994-01-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Wheat,KG,actual,Retail,INR,8.0,0.2545
1994-01-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,miscellaneous food,Sugar,KG,actual,Retail,INR,13.8,0.4389
1994-01-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,oil and fats,Oil (mustard),KG,actual,Retail,INR,36.0,1.145
1994-01-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,cereals and tubers,Wheat,KG,actual,Retail,INR,5.0,0.159
1994-01-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4294
1994-01-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,oil and fats,Oil (mustard),KG,actual,Retail,INR,33.0,1.0496
1994-01-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Rice,KG,actual,Retail,INR,6.2,0.1972
1994-01-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Wheat,KG,actual,Retail,INR,7.5,0.2385
1994-01-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,miscellaneous food,Sugar,KG,actual,Retail,INR,13.0,0.4135
1994-01-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,oil and fats,Oil (mustard),KG,actual,Retail,INR,37.0,1.1768
1994-01-15,Tripura,West Tripura,Agartala,23.836389,91.275,miscellaneous food,Sugar,KG,actual,Retail,INR,16.0,0.5089
1994-01-15,Tripura,West Tripura,Agartala,23.836389,91.275,oil and fats,Oil (mustard),KG,actual,Retail,INR,41.0,1.3041
1994-01-15,West Bengal,Kolkata,Kolkata,22.569722,88.369722,cereals and tubers,Rice,KG,actual,Retail,INR,6.75,0.2147
1994-01-15,West Bengal,Kolkata,Kolkata,22.569722,88.369722,miscellaneous food,Sugar,KG,actual,Retail,INR,13.4,0.4262
1994-01-15,West Bengal,Kolkata,Kolkata,22.569722,88.369722,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.986
1994-02-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.2545
1994-02-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Wheat,KG,actual,Retail,INR,5.2,0.1654
1994-02-15,Delhi,Delhi,Delhi,28.666667,77.216667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4294
1994-02-15,Delhi,Delhi,Delhi,28.666667,77.216667,oil and fats,Oil (mustard),KG,actual,Retail,INR,30.0,0.9542
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Rice,KG,actual,Retail,INR,6.9,0.2195
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Wheat,KG,actual,Retail,INR,6.0,0.1908
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4294
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,oil and fats,Oil (mustard),KG,actual,Retail,INR,39.0,1.2405
1994-02-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,cereals and tubers,Rice,KG,actual,Retail,INR,8.75,0.2783
1994-02-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,miscellaneous food,Sugar,KG,actual,Retail,INR,13.75,0.4373
1994-02-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,oil and fats,Oil (mustard),KG,actual,Retail,INR,39.0,1.2405
1994-02-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,cereals and tubers,Wheat,KG,actual,Retail,INR,4.6,0.1463
1994-02-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,miscellaneous food,Sugar,KG,actual,Retail,INR,13.25,0.4214
1994-02-15,Madhya Pradesh,Bhopal,Bhopal,23.266667,77.4,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.986
1994-02-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.2545
1994-02-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,cereals and tubers,Wheat,KG,actual,Retail,INR,8.0,0.2545
1994-02-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,miscellaneous food,Sugar,KG,actual,Retail,INR,13.8,0.4389
1994-02-15,Maharashtra,Mumbai city,Mumbai,18.975,72.825833,oil and fats,Oil (mustard),KG,actual,Retail,INR,36.0,1.145
1994-02-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,cereals and tubers,Rice,KG,actual,Retail,INR,8.0,0.2545
1994-02-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,miscellaneous food,Sugar,KG,actual,Retail,INR,14.5,0.4612
1994-02-15,Meghalaya,East Khasi Hills,Shillong,25.575556,91.873056,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.986
1994-02-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,cereals and tubers,Wheat,KG,actual,Retail,INR,5.0,0.159
1994-02-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,miscellaneous food,Sugar,KG,actual,Retail,INR,13.8,0.4389
1994-02-15,Orissa,Khordha,Bhubaneshwar,20.233333,85.833333,oil and fats,Oil (mustard),KG,actual,Retail,INR,33.5,1.0655
1994-02-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,cereals and tubers,Rice,KG,actual,Retail,INR,9.0,0.2863
1994-02-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,cereals and tubers,Wheat,KG,actual,Retail,INR,5.25,0.167
1994-02-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.4,0.4262
1994-02-15,Rajasthan,Bikaner,Jaipur,28.883333,74.066667,oil and fats,Oil (mustard),KG,actual,Retail,INR,30.0,0.9542
1994-02-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,cereals and tubers,Rice,KG,actual,Retail,INR,7.0,0.2226
1994-02-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,cereals and tubers,Wheat,KG,actual,Retail,INR,8.0,0.2545
1994-02-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,miscellaneous food,Sugar,KG,actual,Retail,INR,13.4,0.4262
1994-02-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,oil and fats,Oil (mustard),KG,actual,Retail,INR,37.0,1.1768
1994-02-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Rice,KG,actual,Retail,INR,7.0,0.2226
1994-02-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Wheat,KG,actual,Retail,INR,7.2,0.229
1994-02-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4294
1994-02-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,oil and fats,Oil (mustard),KG,actual,Retail,INR,38.0,1.2087
1994-03-15,Assam,Kamrup,Guwahati,26.183333,91.733333,cereals and tubers,Rice,KG,actual,Retail,INR,6.5,0.2072
